City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Zhigalovo,RU,2022-08-04 16:05:29,54.8097,105.1578,285.36,87,58,0.35
137,Suzzara,IT,2022-08-04 16:06:29,44.9919,10.7431,310.38,27,0,2.01
138,Coahuayana,MX,2022-08-04 16:06:30,18.7333,-103.6833,305.05,60,63,0.55
139,Saskylakh,RU,2022-08-04 16:06:30,71.9167,114.0833,285.52,63,92,3.38
140,Palma Soriano,CU,2022-08-04 16:06:31,20.2172,-75.9989,303.63,53,94,1.71
141,Cabedelo,BR,2022-08-04 16:03:38,-6.9811,-34.8339,301.52,73,20,7.1
142,Sao Gabriel Da Cachoeira,BR,2022-08-04 16:06:31,-0.1303,-67.0892,300.85,81,77,0.74
143,Fomboni,KM,2022-08-04 16:06:32,-12.28,43.7425,297.53,70,0,6.55
144,Erenhot,CN,2022-08-04 16:06:32,43.6475,111.9767,297.65,49,0,5.8
145,Leningradskiy,RU,2022-08-04 16:06:33,69.3833,178.4167,274.24,99,100,5.17
146,Qasigiannguit,GL,2022-08-04 16:04:35,68.8193,-51.1922,281.29,90,100,1.4
147,San Quintin,MX,2022-08-04 16:06:34,30.4833,-115.95,295.69,77,84,4.77
148,Kattivakkam,IN,2022-08-04 16:03:17,13.2167,80.3167,302.2,89,100,5.72
149,Xuddur,SO,2022-08-04 16:06:35,4.1213,43.8894,299.94,44,96,8.27
150,Dukat,RU,2022-08-04 16:06:35,62.55,155.55,284.51,97,43,0.36
151,Amos,CA,2022-08-04 16:06:36,48.5669,-78.1162,286.98,82,98,2.35
152,Thompson,CA,2022-08-04 16:06:37,55.7435,-97.8558,290.19,35,17,2.53
153,Kipini,KE,2022-08-04 16:06:37,-2.5257,40.5262,297.31,77,27,8.08
154,Ribeira Grande,PT,2022-08-04 16:02:52,38.5167,-28.7,298.37,88,75,3.6
155,Pacific Grove,US,2022-08-04 16:04:36,36.6177,-121.9166,290.97,95,25,0.89
156,Cape Town,ZA,2022-08-04 16:06:38,-33.9258,18.4232,290.03,74,71,3.58
157,Wasilla,US,2022-08-04 16:02:18,61.5814,-149.4394,288.19,86,0,1.54
158,Deputatskiy,RU,2022-08-04 16:02:31,69.3,139.9,274.98,86,30,0.69
159,Mahebourg,MU,2022-08-04 16:03:00,-20.4081,57.7,294.96,73,40,5.66
160,Rosario,AR,2022-08-04 16:06:39,-32.9468,-60.6393,289.23,63,0,6.69
161,Sibut,CF,2022-08-04 16:06:40,5.718,19.0739,297.14,92,100,1.23
162,Tromso,NO,2022-08-04 16:06:40,69.6496,18.957,286.16,76,75,6.69
163,Tuatapere,NZ,2022-08-04 16:06:41,-46.1333,167.6833,285.66,81,100,3.95
164,Clarence Town,AU,2022-08-04 16:06:41,-32.5833,151.7833,291.1,97,98,1.68
165,Poum,NC,2022-08-04 16:06:42,-20.2333,164.0167,297.02,83,1,2.78
166,Tautira,PF,2022-08-04 16:06:42,-17.7333,-149.15,297.87,78,77,12.1
167,Klichka,RU,2022-08-04 16:06:43,50.4457,117.996,287.67,86,28,4.71
168,Tumkur,IN,2022-08-04 16:06:43,13.3422,77.1017,296.13,85,100,2.9
169,Pevek,RU,2022-08-04 16:04:34,69.7008,170.3133,274.52,96,100,2.59
170,Kruisfontein,ZA,2022-08-04 16:03:58,-34.0033,24.7314,286.34,84,78,2.72
171,Souillac,MU,2022-08-04 16:06:44,-20.5167,57.5167,294.36,73,40,5.66
172,Mutare,ZW,2022-08-04 16:06:45,-18.9707,32.6709,290.67,46,1,1.7
173,Yuancheng,CN,2022-08-04 16:06:45,36.652,107.7896,299.33,64,98,2.44
174,Waimana,NZ,2022-08-04 16:06:46,-38.15,177.0833,279.5,95,6,1.77
175,Avarua,CK,2022-08-04 16:02:05,-21.2078,-159.775,296.18,73,75,7.72
176,Alvaraes,BR,2022-08-04 16:06:46,-3.2208,-64.8042,305.08,55,99,2.24
177,Buin,CL,2022-08-04 16:06:47,-33.7333,-70.75,287.28,54,0,0.9
178,Bilma,NE,2022-08-04 16:06:48,18.6853,12.9164,311.66,22,18,0.17
179,Khuzhir,RU,2022-08-04 16:06:48,53.1939,107.3397,287.28,79,8,2.54
180,Kidodi,TZ,2022-08-04 16:06:49,-7.6036,37.0044,296.76,54,89,0.45
181,Mareeba,AU,2022-08-04 16:06:50,-17.0,145.4333,293.55,95,67,1.18
182,Tecoanapa,MX,2022-08-04 16:07:50,16.5167,-98.75,302.76,63,0,1.24
183,San Matias,BO,2022-08-04 16:07:51,-16.3667,-58.4,310.64,14,11,2.44
184,Ouro Branco,BR,2022-08-04 16:03:44,-20.5208,-43.6919,300.68,25,85,1.39
185,Inhambane,MZ,2022-08-04 16:07:51,-23.865,35.3833,293.66,77,0,4.21
186,Gwadar,PK,2022-08-04 16:07:53,25.1216,62.3254,300.76,84,59,4.11
