City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Kilakarai,IN,28.66,overcast clouds,9.2333,78.7833,Kilakarai Home Stays
543,Praia Da Vitoria,PT,23.2,overcast clouds,38.7333,-27.0667,Hotel Branco I
547,Edson,CA,26.75,broken clouds,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
551,Aras,ES,23.23,clear sky,42.5617,-2.356,Jardines de Viana Spa
552,Marsh Harbour,BS,28.7,clear sky,26.5412,-77.0636,Abaco Beach Resort
553,Popondetta,PG,23.23,overcast clouds,-8.7537,148.2534,Timos Transit House
554,Kushima,JP,25.75,overcast clouds,31.4583,131.2333,Hanaoka
555,Russell,US,29.78,scattered clouds,32.3502,-85.1999,Macs
557,Nguru,NG,26.32,overcast clouds,12.8791,10.4526,Government Lodge
561,Tongren,CN,24.59,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
564,Ugoofaaru,MV,27.36,broken clouds,5.6667,73.0,Ungoofaaru Inn
568,Thunder Bay,CA,23.95,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
571,Baherden,TM,28.4,clear sky,38.4362,57.4316,
572,Maizuru,JP,25.51,overcast clouds,35.45,135.3333,Maizuru Grand Hotel
575,Hirara,JP,29.5,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
576,Benjamin Constant,BR,27.07,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
577,Troyes,FR,26.03,clear sky,48.3333,4.0833,Logis Hôtel des Sources
578,Touros,BR,24.97,few clouds,-5.1989,-35.4608,INN NEW HORIZON
583,Adre,TD,22.34,light rain,13.4667,22.2,
584,Pacific Grove,US,29.02,clear sky,36.6177,-121.9166,Lovers Point Inn
588,Katsuura,JP,27.19,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
593,Bemidji,US,25.03,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
600,Manavalakurichi,IN,25.9,overcast clouds,8.1333,77.3,Jebinrio home
601,Turayf,SA,28.14,clear sky,31.6725,38.6637,Turaif
602,Kumluca,TR,27.66,clear sky,36.3703,30.2869,Akkol Apart
606,Dingle,PH,24.2,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
609,Alzey,DE,26.74,scattered clouds,49.7517,8.1161,Dorint Hotel Alzey/Worms
611,Turkistan,KZ,22.64,clear sky,43.0,68.0,
613,Nara,JP,28.62,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
614,Katastarion,GR,22.94,clear sky,37.8333,20.7667,Clio
615,Sabang,ID,27.79,overcast clouds,5.8933,95.3214,Hotel Citra
617,Pasighat,IN,26.0,broken clouds,28.0667,95.3333,Siang Guest House
618,Kenora,CA,22.54,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
620,Sinnamary,GF,27.97,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
621,Isangel,VU,22.2,clear sky,-19.55,169.2667,Tanna Lodge
623,Puerto Baquerizo Moreno,EC,22.55,broken clouds,-0.9,-89.6,Hotel los Algarrobos
624,Chulakivka,UA,23.19,overcast clouds,46.3576,32.3514,
625,Jabinyanah,TN,28.89,clear sky,35.035,10.9081,maison belmabrouk
626,Kyaukse,MM,26.71,light rain,21.6,96.1333,Shwe Thit Sar Guesthouse
632,Inongo,CD,23.81,overcast clouds,-1.95,18.2667,Hotel Du Lac
633,Severnyy,RU,22.02,clear sky,50.677,36.5532,Full House North Mini-Hotel
635,Piranhas,BR,25.42,clear sky,-16.4269,-51.8222,Planalto Hotel
636,Road Town,VG,29.05,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
638,Wattegama,LK,25.25,overcast clouds,6.7989,81.4808,
642,Cabadiangan,PH,25.19,broken clouds,9.7531,122.4739,Kipot
644,Nicolas Bravo,MX,28.91,overcast clouds,18.45,-88.9167,
646,Siderno,IT,22.41,few clouds,38.2779,16.302,Grand Hotel President
650,Izumo,JP,26.97,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
652,Jinchang,CN,25.64,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
653,Dongzhen,CN,24.14,scattered clouds,22.3797,110.9389,茂名中汇时尚酒店
654,Bermeo,ES,26.89,few clouds,43.4209,-2.7215,Eco-Hotel Mundaka
655,Muana,BR,29.08,scattered clouds,-1.5283,-49.2167,Pousada Bella do Marajó
659,Palembang,ID,26.05,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
661,Mudgal,IN,23.14,scattered clouds,16.0167,76.4333,Fi Rab Hotel
663,Sciacca,IT,25.26,few clouds,37.5082,13.0881,Hotel Aliai
664,Ducheng,CN,23.84,clear sky,23.2373,111.5317,Xinyongguang Hotel
666,Kibala,TD,23.97,few clouds,9.1104,18.3463,Prasant Hotels
669,Mahon,ES,27.31,clear sky,39.8885,4.2658,ARTIEM Capri
675,Villena,ES,25.35,clear sky,38.6373,-0.8657,Hotel Restaurante Salvadora
679,Belmonte,BR,23.96,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
683,Roma,US,27.63,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
688,Zhangye,CN,27.08,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
693,Marzuq,YE,25.94,overcast clouds,14.4,46.4667,
696,Sajanan,TN,24.51,clear sky,37.0573,9.2426,Mine de Dhoihria
